Policy Number,Quote Date,Quote Ref,Policy start date,Line of Business,Underwriter,Premium amount,Policy status,Last renewal date,Payment Method,Business source,Account number,Sort code,Cancel Date,Declared accident,Conviction,Title,First name,Surname,Gender,Address Postcode,Email,Phone,Voluntary Excess,Compulsory Excess,Occupation,NCB,Licence Years,Email Domain,Marital status ,Véhicule registration ,Make ,Model,Class of use,Cover type,Purchase Date,Storage,Vehicle value ,Date of Birth 
Q41392082,24/11/2025,Q658581,19/06/2024,Commercial,Zurich,431.91,Cancelled,null,paid in full,Comparison Site,76197528,38161,null,YES,No,Miss,Harper,Taylor,Female,"51 Glasgow Road, L82 9XX",harper.taylor@gmail.com,7930549890,100,200,Manager,3,13,Yahoo.com,Living with partner,LA15XYB,Toyota,Yaris,Social & Commuting,Third Party fire,25/03/2016,Garage,29678,30/01/1994
A16691773,null,Q348592,11/05/2024,Commercial,AXA,1251.01,Cancelled,null,Direct debit,Comparison Site,15353601,27354,null,No,No,Ms,Robert,Walker,Female,"50 Edinburgh Road, B34 9XX",robert.walker@gmail.com,7612609601,250,0,Doctor,3,16,Hotmail.com,Married,LP12XZZ,Volkwagen,Golf,Social & Commuting,Third Party fire,10/12/2020,Driveway,30443,23/04/1981
H65412628,Invalid Date,Q582339,null,Private,Allianz,1615.85,Cancelled,null,Direct debit,Comparison Site,38907158,53301,null,Yes,YES,Dr,Isabella,Roberts,Other,"8 Edinburgh Road, B91 6XX",isabella.roberts@yahoo.com,7819213665,100,200,Unemployed,6,20,Hotmail.com,Married,GD22YAB,Ford,Fiesta,Business use,Comprehensive,21/04/2023,Car Park,33411,null
Q38942946,12/11/2025,Q449155,15/10/2024,Commercial,Aviva,1956.32,Live,null,Credit Card,Aggregator,52695494,21268,null,YES,NO,Dr,Sophia,Stick,Other,"69 Edinburgh Road, G82 5XX",sophia.stick@gmail.com,7636420975,500,50,Unemployed,2,1,Gmail.com,Divorced,CD14YZZ,Ford,Focus,Business use,Third Party fire,03/08/2016,Driveway,20983,28/04/1986
Mf10589660,22/05/2024,Q443357,06/03/2024,Private,AXA,1613.91,Pending,null,Cheque,Broker,40390887,18884,null,YES,NO,Mr,Emma,White,Other,"91 Birmingham Road, M13 8XX",emma.white@yahoo.com,7457746953,100,50,Teacher,5,0,Gmail.com,Divorced,GD24YZC,BMW,5 Series,Commercial,Third Party only,08/08/2016,Private Land,29651,14/11/1967
A15498002,06/02/2025,Q320751,02/08/2025,Private,Markerstudy Insurance,1362.67,Live,null,Credit Card,Direct,64097331,74610,null,YES,Yes,Mr,Thomas,Taylor,Female,"92 Birmingham Road, L65 5XX",thomas.taylor@hotmail.com,7166403020,250,0,Unemployed,2,14,Gmail.com,Married,GP23YYC,Ford,Focus,Business use,Third Party only,26/12/2018,Driveway,46573,24/12/1967
H98149722,11/08/2024,Q323451,15/11/2024,Commercial,Zurich,1098.6 USD,Live,null,Direct debit,Broker,52698130,62627,null,YES,Yes,Ms,Mark,Hall,Female,"3 Liverpool Road, G6 2XX",mark.hall@hotmail.com,7124617358,500,200,Doctor,11,19,gmail.com,Single,CP18YZC,Volkwagen,Golf,Commercial,Third Party fire,30/11/2019,Garage,47166,01/09/1990
Mf32314104,28/07/2025,Q616357,02/08/2025,Private,Zurich,1216.45,Live,null,Cheque,Direct,99966402,44418,null,null,Yes,Mr,Joseph,Taylor,Other,"39 Manchester Road, L43 6XX",joseph.taylor@yahoo.com,7424929093,250,50,IT Consultant,7,19,gmail.com,Divorced,GD10XYB,BMW,3 Series,Business use,Third Party fire,28/08/2016,Driveway,28247,26/05/1964
H39731149,04/11/2024,Q688105,24/04/2024,Commercial,Direct Line,$1303.56,Pending,null,paid in full,Broker,36810666,62792,null,YES,NO,Mx,Emily,Davies,Other,"72 Birmingham Road, G63 7XX",emily.davies@gmail.com,7322252502,100,50,Unemployed,4,3,Hotmail.com,Widowed,CP25VYZ,Toyota,RAV4,Commercial,Third Party fire,15/01/2019,Street,1880,04/03/2005
Q58983461,01/12/2024,Q343220,06/07/2024,Commercial,Aviva,1310.97,lapse,null,Cheque,Direct,72366840,58060,null,NO,NO,Miss,Isabella,Johnson,Female,"14 Birmingham Road, G5 4XX",isabella.johnson@gmail.com,7580754367,100,200,Teacher,5,17,Hotmail.com,Single,MP19XZB,Volkwagen,Golf,Business use,Comprehensive,24/01/2020,Street,43517,13/03/1963
